Time,VIX3M/VIX,rsi,atr,macd,bb_high,bb_mid,bb_low,SPY Trailing 7-day Return %,Label
2020-02-24 11:00:00-05:00,0.9110915492957746,15.358012257581871,0.22789747757336173,-1.4616331187458427,5.840100661553626,5.81626049711687,5.7924203326801145,-3.9194193452821855,0
2020-02-25 14:00:00-05:00,0.8345737483085252,10.600939614963057,0.7214895493993231,-3.1938169868958046,5.833564129687184,5.790214591690828,5.746865053694472,-7.40521327014218,0
2020-02-27 11:00:00-05:00,0.822835867204468,24.080314416097472,1.590238533323251,-3.5583983474192493,5.792609745365452,5.75723360193155,5.721857458497649,-9.933286102255277,0
2020-02-28 10:00:00-05:00,0.7238193018480492,15.340505628186541,2.357786921452586,-4.580000353522417,5.786822972395257,5.737061232367002,5.687299492338747,-14.484879242917286,1
2020-02-28 14:00:00-05:00,0.7256020278833967,26.299948966971105,2.515719517026066,-5.031734693613259,5.783939366036609,5.7217353191777836,5.659531272318958,-13.888064573565199,1
2020-03-02 10:00:00-05:00,0.771952479338843,39.072401725886785,2.8416406099424387,-4.404563404690693,5.769945858226322,5.711064663103012,5.652183467979702,-11.320585330819654,1
2020-03-02 13:00:00-05:00,0.8071913929784825,46.69589804247722,2.7710213386959377,-2.901068402963381,5.754247280751232,5.705380757780153,5.656514234809074,-9.522236569472383,1
2020-03-03 12:00:00-05:00,0.8251768867924527,51.91714699682816,3.3004644270788575,-0.6901149081592348,5.746971145345355,5.7031309698053105,5.659290794265266,-5.565512978986417,0
2020-03-03 15:00:00-05:00,0.8089980678995308,50.34031820222267,3.4053648562872674,-0.6179611707094743,5.747134929355786,5.703494176440271,5.659853423524757,-5.0455851130260925,1
2020-03-04 14:00:00-05:00,0.8650895140664961,57.08933615049828,2.8464122263045435,0.3643122966051268,5.745089328127121,5.719489499285857,5.693889670444594,-0.9849696194435511,0
2020-03-05 14:00:00-05:00,0.8100314998788466,44.2118705944194,2.625147518001864,0.022050729285651074,5.74928650051295,5.726677145951851,5.704067791390752,-3.264009243212003,0
2020-03-06 11:00:00-05:00,0.8135228251507322,37.482388429925805,2.7861460661533433,-1.038764277222098,5.7508833708378075,5.7212664013778,5.691649431917793,-3.8668273772681383,0
2020-03-06 16:00:00-05:00,0.8454935622317598,45.0904609120823,2.713507731744472,-1.8208227307089886,5.75574901973156,5.7142075956772285,5.672666171622897,2.097493992447653,1
2020-03-09 11:00:00-04:00,0.7878953107960741,30.706673583970545,3.848688796033668,-3.0304370698831895,5.7644487904177035,5.705539884769836,5.646630979121968,-4.023636301533618,1
2020-03-11 10:00:00-04:00,0.8195028680688337,42.29960119841114,4.242620126946044,-2.8472898714396933,5.699694938496405,5.649499639762892,5.599304341029379,-8.750286331358996,0
2020-03-11 16:00:00-04:00,0.823191094619666,39.96434099325179,3.5440731292319123,-2.972653699510551,5.658540803866209,5.631992131290021,5.605443458713833,-10.373660830938086,1
