Time,Symbol,Price,Quantity,Type,Status,Value,Tag 
2021-10-25T17:00:00Z,SPY,446.540117902,586,Market,Filled,261672.50909057,Warning: No quote information available at 10/25/2021 13:00:00 America/New_York, order filled using TradeBar data 
2021-11-05T14:00:00Z,SPY,461.131265854,-586,Market,Filled,-270222.92179044,Liquidated - Warning: No quote information available at 11/05/2021 10:00:00 America/New_York, order filled using TradeBar data 
2021-11-05T15:00:00Z,SPY,460.993983548,586,Market,Filled,270142.47435913,Warning: No quote information available at 11/05/2021 11:00:00 America/New_York, order filled using TradeBar data 
2021-11-30T21:00:00Z,SPY,452.717821672,-586,Market On Open,Filled,-265292.64349979,Liquidated 
2021-12-01T15:00:00Z,SPY,452.492286455,587,Market,Filled,265612.97214909,Warning: No quote information available at 12/01/2021 10:00:00 America/New_York, order filled using TradeBar data 
2021-12-27T16:00:00Z,SPY,467.39646932,-587,Market,Filled,-274361.72749084,Liquidated - Warning: No quote information available at 12/27/2021 11:00:00 America/New_York, order filled using TradeBar data 
2021-12-27T17:00:00Z,SPY,467.6621585,586,Market,Filled,274050.024881,Warning: No quote information available at 12/27/2021 12:00:00 America/New_York, order filled using TradeBar data 
2022-01-10T15:00:00Z,SPY,452.02585824,-586,Market,Filled,-264887.15292864,Liquidated - Warning: No quote information available at 01/10/2022 10:00:00 America/New_York, order filled using TradeBar data 
2022-01-10T16:00:00Z,SPY,450.38252146,588,Market,Filled,264824.92261848,Warning: No quote information available at 01/10/2022 11:00:00 America/New_York, order filled using TradeBar data 
2022-01-12T15:00:00Z,SPY,465.08398942,-588,Market,Filled,-273469.38577896,Liquidated - Warning: No quote information available at 01/12/2022 10:00:00 America/New_York, order filled using TradeBar data 
2022-01-12T16:00:00Z,SPY,463.21432482,591,Market,Filled,273759.66596862,Warning: No quote information available at 01/12/2022 11:00:00 America/New_York, order filled using TradeBar data 
2022-01-18T18:00:00Z,SPY,448.5226972,-591,Market,Filled,-265076.9140452,Liquidated - Warning: No quote information available at 01/18/2022 13:00:00 America/New_York, order filled using TradeBar data 
2022-01-18T19:00:00Z,SPY,449.86098344,589,Market,Filled,264968.11924616,Warning: No quote information available at 01/18/2022 14:00:00 America/New_York, order filled using TradeBar data 
2022-01-21T18:00:00Z,SPY,435.78929724,-589,Market,Filled,-256679.89607436,Liquidated - Warning: No quote information available at 01/21/2022 13:00:00 America/New_York, order filled using TradeBar data 
2022-01-21T19:00:00Z,SPY,435.15951548,590,Market,Filled,256744.1141332,Warning: No quote information available at 01/21/2022 14:00:00 America/New_York, order filled using TradeBar data 
2022-01-24T16:00:00Z,SPY,421.94393886,-590,Market,Filled,-248946.9239274,Liquidated - Warning: No quote information available at 01/24/2022 11:00:00 America/New_York, order filled using TradeBar data 
2022-01-24T17:00:00Z,SPY,418.96723601,594,Market,Filled,248866.53818994,Warning: No quote information available at 01/24/2022 12:00:00 America/New_York, order filled using TradeBar data 
2022-01-24T21:00:00Z,SPY,426.27368846,-594,Market On Open,Filled,-253206.57094524,Liquidated 
2022-01-25T15:00:00Z,SPY,422.26867008,600,Market,Filled,253361.202048,Warning: No quote information available at 01/25/2022 10:00:00 America/New_York, order filled using TradeBar data 
2022-01-31T15:00:00Z,SPY,436.25179322,-600,Market,Filled,-261751.075932,Liquidated - Warning: No quote information available at 01/31/2022 10:00:00 America/New_York, order filled using TradeBar data 
2022-01-31T16:00:00Z,SPY,438.08209646,597,Market,Filled,261535.01158662,Warning: No quote information available at 01/31/2022 11:00:00 America/New_York, order filled using TradeBar data 
2022-02-22T16:00:00Z,SPY,424.9058812,-597,Market,Filled,-253668.8110764,Liquidated - Warning: No quote information available at 02/22/2022 11:00:00 America/New_York, order filled using TradeBar data 
2022-02-22T17:00:00Z,SPY,424.37450284,598,Market,Filled,253775.95269832,Warning: No quote information available at 02/22/2022 12:00:00 America/New_York, order filled using TradeBar data 
2022-02-24T15:00:00Z,SPY,409.10229516,-598,Market,Filled,-244643.17250568,Liquidated - Warning: No quote information available at 02/24/2022 10:00:00 America/New_York, order filled using TradeBar data 
2022-02-24T16:00:00Z,SPY,410.38153936,596,Market,Filled,244587.39745856,Warning: No quote information available at 02/24/2022 11:00:00 America/New_York, order filled using TradeBar data 
2022-02-25T16:00:00Z,SPY,426.39177254,-596,Market,Filled,-254129.49643384,Liquidated - Warning: No quote information available at 02/25/2022 11:00:00 America/New_York, order filled using TradeBar data 
2022-02-25T17:00:00Z,SPY,429.74732848,591,Market,Filled,253980.67113168,Warning: No quote information available at 02/25/2022 12:00:00 America/New_York, order filled using TradeBar data 
2022-03-07T18:00:00Z,SPY,416.26606268,-591,Market,Filled,-246013.24304388,Liquidated - Warning: No quote information available at 03/07/2022 13:00:00 America/New_York, order filled using TradeBar data 
2022-03-07T19:00:00Z,SPY,415.912794474,592,Market,Filled,246220.37432861,Warning: No quote information available at 03/07/2022 14:00:00 America/New_York, order filled using TradeBar data 
2022-03-16T20:00:00Z,SPY,426.60826002,-592,Market On Open,Filled,-252552.08993184,Liquidated 
2022-03-17T14:00:00Z,SPY,429.21595012,588,Market,Filled,252378.97867056,Warning: No quote information available at 03/17/2022 10:00:00 America/New_York, order filled using TradeBar data 
2022-03-22T15:00:00Z,SPY,443.03605353,-588,Market,Filled,-260505.19947564,Liquidated - Warning: No quote information available at 03/22/2022 11:00:00 America/New_York, order filled using TradeBar data 
2022-03-22T16:00:00Z,SPY,442.902796245,588,Market,Filled,260426.84419206,Warning: No quote information available at 03/22/2022 12:00:00 America/New_York, order filled using TradeBar data 
2022-04-22T14:00:00Z,SPY,428.70349221,-588,Market,Filled,-252077.65341948,Liquidated - Warning: No quote information available at 04/22/2022 10:00:00 America/New_York, order filled using TradeBar data 
2022-04-22T15:00:00Z,SPY,426.72931021,591,Market,Filled,252197.02233411,Warning: No quote information available at 04/22/2022 11:00:00 America/New_York, order filled using TradeBar data 
2022-04-26T20:00:00Z,SPY,411.99204158,-591,Market On Open,Filled,-243487.29657378,Liquidated 
2022-04-27T14:00:00Z,SPY,415.31853825,586,Market,Filled,243376.6634145,Warning: No quote information available at 04/27/2022 10:00:00 America/New_York, order filled using TradeBar data 
2022-05-02T18:00:00Z,SPY,402.40738797,-586,Market,Filled,-235810.72935042,Liquidated - Warning: No quote information available at 05/02/2022 14:00:00 America/New_York, order filled using TradeBar data 
2022-05-02T19:00:00Z,SPY,401.21300786,588,Market,Filled,235913.24862168,Warning: No quote information available at 05/02/2022 15:00:00 America/New_York, order filled using TradeBar data 
2022-05-04T19:00:00Z,SPY,418.2304567,-588,Market,Filled,-245919.5085396,Liquidated - Warning: No quote information available at 05/04/2022 15:00:00 America/New_York, order filled using TradeBar data 
2022-05-04T20:00:00Z,SPY,419.09909678,581,Market On Open,Filled,243496.57522918, 
2022-05-05T16:00:00Z,SPY,407.00723203,-581,Market,Filled,-236471.20180943,Liquidated - Warning: No quote information available at 05/05/2022 12:00:00 America/New_York, order filled using TradeBar data 
2022-05-05T17:00:00Z,SPY,409.17883223,584,Market,Filled,238960.43802232,Warning: No quote information available at 05/05/2022 13:00:00 America/New_York, order filled using TradeBar data 
2022-05-09T15:00:00Z,SPY,395.77413645,-584,Market,Filled,-231132.0956868,Liquidated - Warning: No quote information available at 05/09/2022 11:00:00 America/New_York, order filled using TradeBar data 
2022-05-09T16:00:00Z,SPY,396.70200199,582,Market,Filled,230880.56515818,Warning: No quote information available at 05/09/2022 12:00:00 America/New_York, order filled using TradeBar data 
2022-05-12T14:00:00Z,SPY,383.55394987,-582,Market,Filled,-223228.39882434,Liquidated - Warning: No quote information available at 05/12/2022 10:00:00 America/New_York, order filled using TradeBar data 
2022-05-12T15:00:00Z,SPY,388.90398309,574,Market,Filled,223230.88629366,Warning: No quote information available at 05/12/2022 11:00:00 America/New_York, order filled using TradeBar data 
2022-05-17T17:00:00Z,SPY,400.99584784,-574,Market,Filled,-230171.61666016,Liquidated - Warning: No quote information available at 05/17/2022 13:00:00 America/New_York, order filled using TradeBar data 
2022-05-17T18:00:00Z,SPY,401.06494421,574,Market,Filled,230211.27797654,Warning: No quote information available at 05/17/2022 14:00:00 America/New_York, order filled using TradeBar data 
2022-05-18T18:00:00Z,SPY,387.93663391,-574,Market,Filled,-222675.62786434,Liquidated - Warning: No quote information available at 05/18/2022 14:00:00 America/New_York, order filled using TradeBar data 
2022-05-18T19:00:00Z,SPY,386.62380288,576,Market,Filled,222695.31045888,Warning: No quote information available at 05/18/2022 15:00:00 America/New_York, order filled using TradeBar data 
2022-05-26T15:00:00Z,SPY,398.784764,-576,Market,Filled,-229700.024064,Liquidated - Warning: No quote information available at 05/26/2022 11:00:00 America/New_York, order filled using TradeBar data 
2022-05-26T16:00:00Z,SPY,399.21908404,576,Market,Filled,229950.19240704,Warning: No quote information available at 05/26/2022 12:00:00 America/New_York, order filled using TradeBar data 
2022-06-02T20:00:00Z,SPY,407.14542477,-576,Market On Open,Filled,-234515.76466752,Liquidated 
2022-06-03T14:00:00Z,SPY,407.82651756,575,Market,Filled,234500.247597,Warning: No quote information available at 06/03/2022 10:00:00 America/New_York, order filled using TradeBar data 
2022-06-10T14:00:00Z,SPY,388.27224485,-575,Market,Filled,-223256.54078875,Liquidated - Warning: No quote information available at 06/10/2022 10:00:00 America/New_York, order filled using TradeBar data 
2022-06-10T15:00:00Z,SPY,385.79464644,578,Market,Filled,222989.30564232,Warning: No quote information available at 06/10/2022 11:00:00 America/New_York, order filled using TradeBar data 
2022-06-13T15:00:00Z,SPY,371.25479601,-578,Market,Filled,-214585.27209378,Liquidated - Warning: No quote information available at 06/13/2022 11:00:00 America/New_York, order filled using TradeBar data 
2022-06-13T16:00:00Z,SPY,373.39678348,575,Market,Filled,214703.150501,Warning: No quote information available at 06/13/2022 12:00:00 America/New_York, order filled using TradeBar data 
2022-06-16T15:00:00Z,SPY,361.32466055,-575,Market,Filled,-207761.67981625,Liquidated - Warning: No quote information available at 06/16/2022 11:00:00 America/New_York, order filled using TradeBar data 
2022-06-16T16:00:00Z,SPY,363.13103708,572,Market,Filled,207710.95320976,Warning: No quote information available at 06/16/2022 12:00:00 America/New_York, order filled using TradeBar data 
2022-06-23T15:00:00Z,SPY,374.553594972,-572,Market,Filled,-214244.65632398,Liquidated - Warning: No quote information available at 06/23/2022 11:00:00 America/New_York, order filled using TradeBar data 
2022-06-23T16:00:00Z,SPY,371.946332374,576,Market,Filled,214241.08744742,Warning: No quote information available at 06/23/2022 12:00:00 America/New_York, order filled using TradeBar data 
2022-06-24T15:00:00Z,SPY,383.148639354,-576,Market,Filled,-220693.6162679,Liquidated - Warning: No quote information available at 06/24/2022 11:00:00 America/New_York, order filled using TradeBar data 
2022-06-24T16:00:00Z,SPY,383.664143746,575,Market,Filled,220606.88265395,Warning: No quote information available at 06/24/2022 12:00:00 America/New_York, order filled using TradeBar data 
2022-06-30T14:00:00Z,SPY,370.132153456,-575,Market,Filled,-212825.9882372,Liquidated - Warning: No quote information available at 06/30/2022 10:00:00 America/New_York, order filled using TradeBar data 
