Time,Symbol,Price,Quantity,Type,Status,Value,Tag 
2012-06-29T20:00:00Z,SPY,111.943390887,-927,Market On Open,Filled,-103771.52335225,Liquidated 
2012-07-02T14:00:00Z,SPY,111.804004844,928,Market,Filled,103754.11649523,Warning: No quote information available at 07/02/2012 10:00:00 America/New_York, order filled using TradeBar data 
2012-09-06T15:00:00Z,SPY,117.650019471,-928,Market,Filled,-109179.21806909,Liquidated - Warning: No quote information available at 09/06/2012 11:00:00 America/New_York, order filled using TradeBar data 
2012-09-06T16:00:00Z,SPY,117.707413724,927,Market,Filled,109114.77252215,Warning: No quote information available at 09/06/2012 12:00:00 America/New_York, order filled using TradeBar data 
2012-11-15T17:00:00Z,SPY,111.56813876,-927,Market,Filled,-103423.66463052,Liquidated - Warning: No quote information available at 11/15/2012 12:00:00 America/New_York, order filled using TradeBar data 
2012-11-15T18:00:00Z,SPY,111.617596376,927,Market,Filled,103469.51184055,Warning: No quote information available at 11/15/2012 13:00:00 America/New_York, order filled using TradeBar data 
2012-11-29T15:00:00Z,SPY,117.346436896,-927,Market,Filled,-108780.14700259,Liquidated - Warning: No quote information available at 11/29/2012 10:00:00 America/New_York, order filled using TradeBar data 
2012-11-29T16:00:00Z,SPY,117.198064048,928,Market,Filled,108759.80343654,Warning: No quote information available at 11/29/2012 11:00:00 America/New_York, order filled using TradeBar data 
2013-01-17T19:00:00Z,SPY,123.07640814,-928,Market,Filled,-114214.90675392,Liquidated - Warning: No quote information available at 01/17/2013 14:00:00 America/New_York, order filled using TradeBar data 
2013-01-17T20:00:00Z,SPY,123.05980536,928,Market,Filled,114199.49937408,Warning: No quote information available at 01/17/2013 15:00:00 America/New_York, order filled using TradeBar data 
2013-03-11T17:00:00Z,SPY,129.32735481,-928,Market,Filled,-120015.78526368,Liquidated - Warning: No quote information available at 03/11/2013 13:00:00 America/New_York, order filled using TradeBar data 
2013-03-11T18:00:00Z,SPY,129.37716315,928,Market,Filled,120062.0074032,Warning: No quote information available at 03/11/2013 14:00:00 America/New_York, order filled using TradeBar data 
2013-05-08T15:00:00Z,SPY,135.869669808,-928,Market,Filled,-126087.05358182,Liquidated - Warning: No quote information available at 05/08/2013 11:00:00 America/New_York, order filled using TradeBar data 
2013-05-08T16:00:00Z,SPY,136.069796976,926,Market,Filled,126000.63199978,Warning: No quote information available at 05/08/2013 12:00:00 America/New_York, order filled using TradeBar data 
2013-08-01T18:00:00Z,SPY,142.88557598,-926,Market,Filled,-132312.04335748,Liquidated - Warning: No quote information available at 08/01/2013 14:00:00 America/New_York, order filled using TradeBar data 
2013-08-01T19:00:00Z,SPY,142.986170108,925,Market,Filled,132262.2073499,Warning: No quote information available at 08/01/2013 15:00:00 America/New_York, order filled using TradeBar data 
2013-11-13T21:00:00Z,SPY,150.389940723,-925,Market On Open,Filled,-139110.69516878,Liquidated 
2013-11-14T15:00:00Z,SPY,150.415212096,925,Market,Filled,139134.0711888,Warning: No quote information available at 11/14/2013 10:00:00 America/New_York, order filled using TradeBar data 
